sample_id,stego_path,payload_len,energy_percentile,key_text,mse,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,spectral_centroid_mean,zcr_mean,rms_mean,detectability_score
36,data\ml\stego_samples\sample_0036_p3_e40.wav,313,40.0,k3,4.3279128476569895e-06,-544.958984375,97.025634765625,43.997047424316406,10.94879150390625,-7.359910011291504,-19.453508377075195,-23.540409088134766,-22.40907096862793,-18.129192352294922,-11.719785690307617,-5.458029747009277,-0.9313769340515137,1.0378806591033936,2518.2634619500864,0.06988811492919922,0.05569000542163849,0.5562130212783813
37,data\ml\stego_samples\sample_0037_p4_e1.wav,412,1.0,k1,4.327926035330165e-06,-544.9578857421875,97.02705383300781,43.99697494506836,10.947101593017578,-7.3612823486328125,-19.45337677001953,-23.539562225341797,-22.408889770507812,-18.12997817993164,-11.720283508300781,-5.457822799682617,-0.9308551549911499,1.0383474826812744,2518.3408114661456,0.06988811492919922,0.05569000542163849,0.7278106212615967
38,data\ml\stego_samples\sample_0038_p4_e1.wav,412,1.0,k2,4.327894203015603e-06,-544.9589233398438,97.02539825439453,43.99608612060547,10.947915077209473,-7.359803199768066,-19.453140258789062,-23.540624618530273,-22.409931182861328,-18.13063621520996,-11.720301628112793,-5.458080291748047,-0.9313406944274902,1.0389790534973145,2518.2884896140363,0.06988811492919922,0.05569000169634819,0.3136094808578491
39,data\ml\stego_samples\sample_0039_p4_e1.wav,412,1.0,k3,4.327896022005007e-06,-544.959228515625,97.02520751953125,43.99639892578125,10.948213577270508,-7.360699653625488,-19.453998565673828,-23.540464401245117,-22.409753799438477,-18.129796981811523,-11.71961784362793,-5.457711219787598,-0.9307284355163574,1.038395881652832,2518.336079079339,0.06988811492919922,0.05569000914692879,0.3372780978679657
40,data\ml\stego_samples\sample_0040_p4_e20.wav,412,20.0,k1,4.327906481194077e-06,-544.9581298828125,97.02670288085938,43.99734878540039,10.948078155517578,-7.360682964324951,-19.45351219177246,-23.53986358642578,-22.408653259277344,-18.129802703857422,-11.720260620117188,-5.457612991333008,-0.9312132596969604,1.0379961729049683,2518.3425275057593,0.06988811492919922,0.05569000169634819,0.47337278723716736
41,data\ml\stego_samples\sample_0041_p4_e20.wav,412,20.0,k2,4.3278969314997084e-06,-544.958740234375,97.0250244140625,43.995628356933594,10.947726249694824,-7.360389709472656,-19.45330047607422,-23.539949417114258,-22.409582138061523,-18.13120460510254,-11.721172332763672,-5.457935810089111,-0.9306273460388184,1.0395541191101074,2518.334743976641,0.06988811492919922,0.05569000542163849,0.3491124212741852
42,data\ml\stego_samples\sample_0042_p4_e20.wav,412,20.0,k3,4.327939223003341e-06,-544.9598388671875,97.02517700195312,43.996795654296875,10.948334693908691,-7.360070705413818,-19.453907012939453,-23.54124641418457,-22.41049575805664,-18.130332946777344,-11.719266891479492,-5.456936836242676,-0.9306936860084534,1.0386443138122559,2518.3197761763377,0.06988811492919922,0.05568999797105789,0.8994082808494568
43,data\ml\stego_samples\sample_0043_p4_e40.wav,412,40.0,k1,4.3279210331093054e-06,-544.95849609375,97.02682495117188,43.99749755859375,10.94805908203125,-7.360235691070557,-19.45325469970703,-23.539941787719727,-22.409347534179688,-18.130250930786133,-11.719793319702148,-5.457530975341797,-0.9308099746704102,1.0386559963226318,2518.288887744802,0.06988811492919922,0.05569000169634819,0.6627218723297119
44,data\ml\stego_samples\sample_0044_p4_e40.wav,412,40.0,k2,4.327879196353024e-06,-544.958740234375,97.02559661865234,43.99650192260742,10.948012351989746,-7.361021995544434,-19.454334259033203,-23.540363311767578,-22.4091854095459,-18.129919052124023,-11.720353126525879,-5.458157539367676,-0.9309905767440796,1.0386459827423096,2518.3042670042514,0.06988811492919922,0.05569000542163849,0.11834319680929184
45,data\ml\stego_samples\sample_0045_p4_e40.wav,412,40.0,k3,4.327935130277183e-06,-544.9588623046875,97.02572631835938,43.99702835083008,10.94837760925293,-7.360866069793701,-19.453845977783203,-23.540010452270508,-22.40930938720703,-18.129653930664062,-11.719720840454102,-5.457729339599609,-0.9308658838272095,1.038669228553772,2518.2772021817705,0.06988811492919922,0.05568999797105789,0.8461538553237915
46,data\ml\stego_samples\sample_0046_p5_e1.wav,511,1.0,k1,4.327881015342427e-06,-544.9586181640625,97.02711486816406,43.99766540527344,10.947212219238281,-7.361439228057861,-19.453533172607422,-23.539405822753906,-22.408615112304688,-18.129932403564453,-11.720372200012207,-5.458202362060547,-0.9309638142585754,1.0385398864746094,2518.372046725636,0.06988811492919922,0.05569000542163849,0.1420118361711502
47,data\ml\stego_samples\sample_0047_p5_e1.wav,511,1.0,k2,4.327893293520901e-06,-544.958740234375,97.02584838867188,43.996482849121094,10.947626113891602,-7.360902309417725,-19.45414161682129,-23.54025650024414,-22.408973693847656,-18.12993621826172,-11.719406127929688,-5.457144260406494,-0.9308441281318665,1.038562536239624,2518.3580127961277,0.06988811492919922,0.05568999797105789,0.30177515745162964
48,data\ml\stego_samples\sample_0048_p5_e1.wav,511,1.0,k3,4.327901933720568e-06,-544.9586181640625,97.02616882324219,43.996849060058594,10.947714805603027,-7.360891819000244,-19.454139709472656,-23.541181564331055,-22.410213470458984,-18.129573822021484,-11.718805313110352,-5.456382751464844,-0.9298632144927979,1.0384001731872559,2518.3625225018955,0.06988811492919922,0.055690012872219086,0.41420117020606995
49,data\ml\stego_samples\sample_0049_p5_e20.wav,511,20.0,k1,4.327931492298376e-06,-544.9593505859375,97.02613830566406,43.99795150756836,10.948837280273438,-7.359806537628174,-19.453506469726562,-23.540403366088867,-22.40941619873047,-18.130142211914062,-11.719584465026855,-5.457228660583496,-0.9310539364814758,1.037994384765625,2518.334607347344,0.06988811492919922,0.05568999797105789,0.7988165616989136
50,data\ml\stego_samples\sample_0050_p5_e20.wav,511,20.0,k2,4.327876013121568e-06,-544.9588012695312,97.02558898925781,43.995826721191406,10.947196960449219,-7.361025810241699,-19.454132080078125,-23.54058837890625,-22.40959930419922,-18.13037872314453,-11.720699310302734,-5.4586310386657715,-0.9309531450271606,1.0396454334259033,2518.355401924122,0.06988811492919922,0.05569000542163849,0.07692307978868484
51,data\ml\stego_samples\sample_0051_p5_e20.wav,511,20.0,k3,4.327946953708306e-06,-544.9599609375,97.02465057373047,43.99593734741211,10.947931289672852,-7.360121726989746,-19.4541072845459,-23.54145050048828,-22.409839630126953,-18.129596710205078,-11.719780921936035,-5.4577178955078125,-0.9307675361633301,1.0385137796401978,2518.3824624805184,0.06988811492919922,0.05569000169634819,1.0
52,data\ml\stego_samples\sample_0052_p5_e40.wav,511,40.0,k1,4.327891929278849e-06,-544.9589233398438,97.02621459960938,43.997398376464844,10.948491096496582,-7.359890460968018,-19.452774047851562,-23.539508819580078,-22.409029006958008,-18.130327224731445,-11.720767974853516,-5.458338260650635,-0.930993914604187,1.0384165048599243,2518.344695188968,0.06988811492919922,0.05569000542163849,0.2840236723423004
53,data\ml\stego_samples\sample_0053_p5_e40.wav,511,40.0,k2,4.327925580582814e-06,-544.958984375,97.02510833740234,43.995819091796875,10.94763469696045,-7.360043048858643,-19.452571868896484,-23.539913177490234,-22.40960693359375,-18.130748748779297,-11.720314025878906,-5.45732307434082,-0.9309121370315552,1.0387879610061646,2518.3590209650456,0.06988811492919922,0.05568999797105789,0.7218934893608093
54,data\ml\stego_samples\sample_0054_p5_e40.wav,511,40.0,k3,4.327914211899042e-06,-544.9600219726562,97.02489471435547,43.996341705322266,10.947881698608398,-7.3600921630859375,-19.454069137573242,-23.541210174560547,-22.40953254699707,-18.130247116088867,-11.72048282623291,-5.458136558532715,-0.9315222501754761,1.0383013486862183,2518.340885121972,0.06988811492919922,0.05569000542163849,0.5739644765853882
